Bag_Name,Personality_Type,Personality_Description,Product_Link,Question,Option_1,Option_1_Personality,Option_2,Option_2_Personality,Option_3,Option_3_Personality,Option_4,Option_4_Personality
Classic Hobo With Side Pockets - 382,Tropical Breeze,"Fresh and relaxing, inspired by coastal vibes.",https://anuschkaleather.in/collections/art-hummingbird-black/products/leather-classic-hobo-with-side-pockets-382-hgb-blk,What’s your go-to mood on weekends?,Relaxing with nature,Vintage Charm,Partying in the city,Tropical Breeze,Exploring something new,Sacred Elephant,Staying cozy at home,Leopard Luxe
Flap Messenger Crossbody - 692,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-hummingbird-black/products/learther-flap-messenger-crossbody-692-hgb-blk,Your dream vacation spot is:,A tropical island 🏝️,Roaring Majesty,Caribbean beaches 🏖️,Metamorph Muse,A quiet ocean cliff 🌊,Metamorph Muse,A deep forest retreat 🌿,Gentle Guardian
Accordion Flap Wallet - 1174,Angel Aura,"Gentle and divine, radiating peace and purity.",https://anuschkaleather.in/collections/art-hummingbird-black/products/leather-accordion-flap-wallet-1174-hgb-blk,Which art style inspires you most?,Colorful splashes,Petal Muse,Intricate mosaics,Camellia Grace,Bohemian patterns,Crimson Blossom,Elegant paisleys,Flutter Charm
Crossbody Phone Case - 1173,Color Mirage,"Creative and unpredictable, with a splash of colors.",https://anuschkaleather.in/collections/art-hummingbird-black/products/leather-crossbody-phone-case-1173-hgb-blk,"If you had wings, how would you use them?",To glide peacefully above nature,Gentle Guardian,To explore galaxies beyond Earth,Paisley Muse,To dance among flowers in freedom,Mystic Mosaic,To transform and start anew,Wilderness Whisper
Painted Leather Cuff - 1176,Winged Serenity,"Light and free, fluttering with calm energy.",https://anuschkaleather.in/collections/hummingbird-heaven/products/painted-leather-cuff-1176-hmh,Which scenery feels most calming to you?,A blooming spring garden 🌷,Playful Paws,A field of wild roses under sunset 🌹,Camellia Grace,A misty meadow with dew,Petal Muse,A vintage botanical greenhouse 🌼,Ocean Mist
Airpod Pro Case - 1179,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-airpod-pro-case-1179-hmh,Which element resonates with your soul?,Air,Earth Song,Light,Color Mirage,Movement,Color Mirage,Growth,Camellia Grace
Two Fold Organizer Wallet - 1178,Dreamscape Urbanite,"Ambitious and visionary, thriving in the city’s rhythm.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-two-fold-organizer-wallet-1178-hmh,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Gentle Guardian,An elephant with a lotus 🐘,Camellia Grace,A guardian dog 🐕,Wolf Moon,A mystical owl 🦉,Angel Aura
Accordion Flap Wallet - 1174,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-accordion-flap-wallet-1174-hmh,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Camellia Grace,An elephant with a lotus 🐘,Boho Spirit,A guardian dog 🐕,Playful Paws,A mystical owl 🦉,Wolf Moon
Crossbody Phone Case - 1173,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-crossbody-phone-case-1173-hmh,Which scenery feels most calming to you?,A blooming spring garden 🌷,Caribbean Dreamer,A field of wild roses under sunset 🌹,Color Mirage,A misty meadow with dew,Boho Spirit,A vintage botanical greenhouse 🌼,Crimson Blossom
Credit Card Case - 1032,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-credit-card-case-1032-hmh,"If you had wings, how would you use them?",To glide peacefully above nature,Sacred Elephant,To explore galaxies beyond Earth,Color Mirage,To dance among flowers in freedom,Metamorph Muse,To transform and start anew,Earth Song
Coin Pouch - 1031,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-coin-pouch-1031-hmh,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Boho Spirit,Bold and fiery rose prints,Ethereal Bloom,Soft watercolor blossoms,Wolf Moon,Dark romantic florals,Winged Serenity
4 in 1 Organizer Crossbody - 711,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-4-in-1-organizer-crossbody-711-hmh,What type of adventure excites you most?,A jungle safari 🐆,Flutter Charm,Climbing a mountain 🏔️,Mystic Mosaic,Exploring an enchanted forest 🌲,Ocean Mist,Leading an expedition 🦁,Ocean Mist
Medium Everyday Tote - 710,Savannah Spirit,"Bold and untamed, echoing the wild savannas.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-medium-everyday-tote-710-hmh,"If your personality was a painting, it would be:",Bold and expressive abstract,Sacred Elephant,Geometric and structured mosaic,Crimson Blossom,Free,Boho Spirit,Delicate and detailed paisley,Earth Song
Zip-Top Shoulder Hobo - 709,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-zip-top-shoulder-hobo-709-hmh,Which wild animal do you relate to most?,Leopard,Earth Song,Lion,Petal Muse,Deer,Earth Song,Wolf,Flutter Charm
Expandable Travel Crossbody - 550,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/hummingbird-heaven/products/leather-expandable-travel-crossbody-550-hmh,Your dream vacation spot is:,A tropical island 🏝️,Dreamscape Urbanite,Caribbean beaches 🏖️,Sacred Elephant,A quiet ocean cliff 🌊,Playful Paws,A deep forest retreat 🌿,City Lights
Pajama Set - 3344,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/art-island-escape-black/products/pajama-set-loungewear-3344-ise-blk,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Color Mirage,An elephant with a lotus 🐘,Enchanted Rose,A guardian dog 🐕,Flutter Charm,A mystical owl 🦉,Crimson Blossom
Zip Around Classic Satchel - 625,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-zip-around-classic-satchel-625-ise-blk,Which scenery feels most calming to you?,A blooming spring garden 🌷,Savannah Spirit,A field of wild roses under sunset 🌹,Vintage Charm,A misty meadow with dew,Playful Paws,A vintage botanical greenhouse 🌼,Ethereal Bloom
Checkbook Clutch with RFID - 1153,Roaring Majesty,"Powerful and commanding, like the king of the jungle.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-checkbook-clutch-with-rfid-1153-ise-blk,Your dream vacation spot is:,A tropical island 🏝️,Playful Paws,Caribbean beaches 🏖️,Ocean Mist,A quiet ocean cliff 🌊,Tropical Breeze,A deep forest retreat 🌿,Playful Paws
Triple Compartment Satchel - 469,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-triple-compartment-satchel-469-ise-blk,What type of adventure excites you most?,A jungle safari 🐆,Ethereal Bloom,Climbing a mountain 🏔️,Wilderness Whisper,Exploring an enchanted forest 🌲,Paisley Muse,Leading an expedition 🦁,Ethereal Bloom
Crossbody With Front Zip Organizer - 651,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-crossbody-with-front-zip-organizer-651-ise-blk,What quality do you value most?,Protection and care,Mystic Mosaic,Wisdom and calmness,Paisley Muse,Playfulness and joy,Sacred Elephant,Strength with compassion,Enchanted Rose
Wooden Printed Cutting Board - 25002,Paisley Muse,Unique and elegant with a cultural twist.,https://anuschkaleather.in/collections/art-island-escape-black/products/wooden-printed-cutting-board-25002-ise-blk,"If you had wings, how would you use them?",To glide peacefully above nature,Flutter Charm,To explore galaxies beyond Earth,Metamorph Muse,To dance among flowers in freedom,Color Mirage,To transform and start anew,Roaring Majesty
Printed Glass Candle Jar - 25005,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/art-island-escape-black/products/glass-candle-25005-ise-blk,Your dream vacation spot is:,A tropical island 🏝️,City Lights,Caribbean beaches 🏖️,Camellia Grace,A quiet ocean cliff 🌊,Savannah Spirit,A deep forest retreat 🌿,Enchanted Rose
Wooden Printed Bowl - 25003,Caribbean Dreamer,"Vibrant and colorful, evoking island life.",https://anuschkaleather.in/collections/art-island-escape-black/products/bowl-25003-ise-blk,Which bag style attracts you most?,Sleek and modern,Ethereal Bloom,Antique leather satchel,City Lights,Funky retro prints,Boho Spirit,Edgy futuristic designs,Ocean Mist
Slip Dress - 3346,Crimson Blossom,"Bold and passionate, like fiery petals.",https://anuschkaleather.in/collections/art-island-escape-black/products/slip-dress-loungewear-3346-ise-blk,What quality do you value most?,Protection and care,Retro Muse,Wisdom and calmness,Vintage Charm,Playfulness and joy,Ocean Mist,Strength with compassion,Tropical Breeze
Robe - 3343,Celestial Wings,"Mystical and radiant, soaring beyond limits.",https://anuschkaleather.in/collections/art-island-escape-black/products/robe-loungewear-3343-ise-blk,What’s your go-to mood on weekends?,Relaxing with nature,City Lights,Partying in the city,Ocean Mist,Exploring something new,Flutter Charm,Staying cozy at home,Boho Spirit
Smartphone Crossbody - 1154,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/art-island-escape-black/products/leather-smartphone-cross-body-1154-ise-blk,Which wild animal do you relate to most?,Leopard,Roaring Majesty,Lion,Ethereal Bloom,Deer,Vintage Charm,Wolf,Mystic Mosaic
Three-in-One Clutch - 667,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/art-island-escape-black/products/leather-three-in-one-clutch-667-ise-blk,Pick a season you love most:,Spring 🌸,Angel Aura,Summer 🌞,Enchanted Rose,Autumn 🍂,Color Mirage,Winter ❄️,Petal Muse
Small Messenger - 669,Wolf Moon,"Loyal, strong, and guided by instincts.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-small-messenger-669-ise-blk,Your dream vacation spot is:,A tropical island 🏝️,Camellia Grace,Caribbean beaches 🏖️,Celestial Wings,A quiet ocean cliff 🌊,Vintage Charm,A deep forest retreat 🌿,Metamorph Muse
Medium Zip Top Hobo - 371,Leopard Luxe,Fierce elegance with a daring personality.,https://anuschkaleather.in/collections/art-island-escape-black/products/leather-medium-zip-top-hobo-371-ise-blk,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Wilderness Whisper,Bold and fiery rose prints,Dreamscape Urbanite,Soft watercolor blossoms,Retro Muse,Dark romantic florals,Flutter Charm
Large Cosmetic Pouch - 1164,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-large-cosmetic-pouch-1164-ise-blk,Which element resonates with your soul?,Air,Sacred Elephant,Light,Gentle Guardian,Movement,Boho Spirit,Growth,Mystic Mosaic
Small Shopper - 677,Gentle Guardian,"Protective and warm-hearted, symbol of care.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-medium-shopper-677-ise-blk,What quality do you value most?,Protection and care,Camellia Grace,Wisdom and calmness,Petal Muse,Playfulness and joy,Playful Paws,Strength with compassion,Earth Song
Multi Compartment Medium Bag - 691,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/art-island-escape-black/products/leather-multi-compartment-medium-bag-691-ise-blk,Your dream vacation spot is:,A tropical island 🏝️,Boho Spirit,Caribbean beaches 🏖️,Savannah Spirit,A quiet ocean cliff 🌊,Celestial Wings,A deep forest retreat 🌿,Vintage Charm
Mini Double Zip Travel Crossbody - 448,Mystic Mosaic,"Artistic and intriguing, a mix of patterns and stories.",https://anuschkaleather.in/collections/art-japanese-garden/products/leather-mini-double-zip-travel-cross-body-448-jpg,Which wild animal do you relate to most?,Leopard,Roaring Majesty,Lion,Sacred Elephant,Deer,Metamorph Muse,Wolf,Ocean Mist
Coin Pouch - 1031,Playful Paws,"Cute, lively, and full of joy.",https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-coin-pouch-1031-jrd,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Flutter Charm,An elephant with a lotus 🐘,Paisley Muse,A guardian dog 🐕,Roaring Majesty,A mystical owl 🦉,Tropical Breeze
RFID Blocking Small Flap French Wallet - 1138,Earth Song,Deeply connected to nature and harmony.,https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-rfid-blocking-small-flap-french-wallet-1138-jrd,Choose a symbolic animal charm for your bag:,A cute paw print 🐾,Camellia Grace,An elephant with a lotus 🐘,Sacred Elephant,A guardian dog 🐕,Celestial Wings,A mystical owl 🦉,Playful Paws
Triple Compartment Crossbody Organizer - 412,Retro Muse,"Nostalgic yet trendy, blending old with new.",https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-triple-compartment-cross-body-organizer-412-jrd,"If your personality was a painting, it would be:",Bold and expressive abstract,Playful Paws,Geometric and structured mosaic,Leopard Luxe,Free,Metamorph Muse,Delicate and detailed paisley,Tropical Breeze
Medium Crossbody With Double Zip Pockets - 447,Petal Muse,"Soft and graceful, blooming with elegance.",https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-medium-crossbody-with-double-zip-pockets-447-jrd,What quality do you value most?,Protection and care,Leopard Luxe,Wisdom and calmness,Metamorph Muse,Playfulness and joy,Earth Song,Strength with compassion,Ocean Mist
Triple Compartment Satchel - 469,Boho Spirit,"Free-spirited and stylish, with bohemian charm.",https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-triple-compartment-satchel-469-jrd,What type of adventure excites you most?,A jungle safari 🐆,Wolf Moon,Climbing a mountain 🏔️,Boho Spirit,Exploring an enchanted forest 🌲,Caribbean Dreamer,Leading an expedition 🦁,Mystic Mosaic
Zip Around Classic Satchel - 625,City Lights,"Bold and modern, inspired by urban nightlife.",https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-zip-around-classic-satchel-625-jrd,Pick a season you love most:,Spring 🌸,Retro Muse,Summer 🌞,Tropical Breeze,Autumn 🍂,Leopard Luxe,Winter ❄️,Tropical Breeze
Organizer Crossbody With RFID Protection - 637,Metamorph Muse,Symbol of transformation and new beginnings.,https://anuschkaleather.in/collections/art-jardin-bleu/products/leather-organizer-crossbody-with-rfid-protection-637-jrd,Your favorite type of floral pattern on accessories?,Minimalistic pastel petals,Tropical Breeze,Bold and fiery rose prints,Color Mirage,Soft watercolor blossoms,Boho Spirit,Dark romantic florals,Gentle Guardian
